array_ID,natural_community,array_type,arm_count
Array 1,mesic flatwoods,hybrid,3
Array 2,successional hardwood forest,trap,4
Array 3,mesic flatwoods,hybrid,3
Array 4,scrub,hybrid,3
Array 5,mesic flatwoods,trap,4
Array 6,dry prairie,hybrid,3
Array 7,mesic flatwoods,hybrid,3
Array 8,mesic hammock,trap,4
Array 9,mesic hammock,trap,4
Array 10,mesic hammock,trap,4
Array 11,mesic hammock,hybrid,4
Array 12,dry prairie,camera,4
Array 13,sandhill,camera,3
Array 14,mesic hammock,camera,3
Array 15,mesic hammock,camera,3
